epoch	word_acc	length_acc	first_char_acc	second_char_acc	last_but_1_char_acc	last_char_acc
231	0.853	1.0	0.9949238578680203	0.9796954314720813	0.9847715736040609	0.9928934010152284
232	0.855	1.0	0.9949238578680203	0.9776649746192894	0.983756345177665	0.9939086294416244
233	0.843	1.0	0.9898477157360406	0.9796954314720813	0.9857868020304569	0.9939086294416244
234	0.848	0.998	0.9949238578680203	0.9756345177664975	0.9827411167512691	0.9918781725888325
235	0.849	1.0	0.9918781725888325	0.9796954314720813	0.9857868020304569	0.9939086294416244
236	0.856	0.999	0.9949238578680203	0.9796954314720813	0.9857868020304569	0.9928934010152284
237	0.859	0.999	0.9939086294416244	0.9786802030456853	0.9827411167512691	0.9939086294416244
238	0.85	0.999	0.9918781725888325	0.9807106598984772	0.9847715736040609	0.9918781725888325
239	0.85	0.994	0.9928934010152284	0.9807106598984772	0.9807106598984772	0.9918781725888325
240	0.83	0.999	0.9918781725888325	0.9796954314720813	0.9847715736040609	0.9928934010152284
241	0.846	0.998	0.9928934010152284	0.9766497461928934	0.9847715736040609	0.9959390862944163
242	0.847	0.998	0.9949238578680203	0.9827411167512691	0.9827411167512691	0.9928934010152284
243	0.824	0.997	0.9918781725888325	0.9766497461928934	0.9786802030456853	0.9908629441624366
244	0.847	0.998	0.9918781725888325	0.9827411167512691	0.9827411167512691	0.9949238578680203
245	0.856	0.997	0.9908629441624366	0.9776649746192894	0.9827411167512691	0.9918781725888325
246	0.859	0.999	0.9949238578680203	0.9786802030456853	0.9868020304568528	0.9928934010152284
247	0.868	0.996	0.9959390862944163	0.9817258883248731	0.9847715736040609	0.9928934010152284
248	0.854	0.998	0.9949238578680203	0.9786802030456853	0.9857868020304569	0.9918781725888325
249	0.861	0.997	0.9939086294416244	0.9827411167512691	0.9868020304568528	0.9939086294416244
250	0.822	0.988	0.9928934010152284	0.9766497461928934	0.9756345177664975	0.9857868020304569
251	0.868	0.999	0.9949238578680203	0.9817258883248731	0.9878172588832488	0.9928934010152284
252	0.853	0.997	0.9939086294416244	0.9766497461928934	0.983756345177665	0.9939086294416244
253	0.657	0.92	0.9543147208121827	0.9431472081218274	0.8903553299492386	0.9137055837563451
254	0.867	0.999	0.9949238578680203	0.9827411167512691	0.9857868020304569	0.9928934010152284
255	0.855	0.999	0.9949238578680203	0.9847715736040609	0.9878172588832488	0.9939086294416244
256	0.862	0.999	0.9949238578680203	0.9766497461928934	0.9857868020304569	0.9939086294416244
257	0.864	0.999	0.9949238578680203	0.9807106598984772	0.9868020304568528	0.9939086294416244
258	0.862	0.999	0.9949238578680203	0.9786802030456853	0.9878172588832488	0.9928934010152284
259	0.858	0.999	0.9949238578680203	0.9817258883248731	0.9868020304568528	0.9939086294416244
260	0.853	0.998	0.9939086294416244	0.9807106598984772	0.9857868020304569	0.9939086294416244
261	0.872	0.999	0.9939086294416244	0.9796954314720813	0.9868020304568528	0.9949238578680203
262	0.869	0.999	0.9949238578680203	0.9817258883248731	0.9878172588832488	0.9928934010152284
263	0.862	0.995	0.9928934010152284	0.9776649746192894	0.9878172588832488	0.9928934010152284
264	0.819	0.997	0.9898477157360406	0.9766497461928934	0.9827411167512691	0.9918781725888325
265	0.877	0.999	0.9939086294416244	0.983756345177665	0.9878172588832488	0.9939086294416244
266	0.875	0.998	0.9959390862944163	0.9827411167512691	0.9908629441624366	0.9918781725888325
267	0.884	0.999	0.9949238578680203	0.9827411167512691	0.9898477157360406	0.9939086294416244
268	0.877	0.999	0.9949238578680203	0.9807106598984772	0.9888324873096447	0.9949238578680203
269	0.864	0.999	0.9939086294416244	0.9766497461928934	0.9898477157360406	0.9939086294416244
270	0.856	0.997	0.9939086294416244	0.9786802030456853	0.9868020304568528	0.9928934010152284
271	0.875	0.997	0.9928934010152284	0.9827411167512691	0.9908629441624366	0.9918781725888325
272	0.882	0.996	0.9949238578680203	0.9817258883248731	0.9868020304568528	0.9918781725888325
